Site,Transect,Plot,Quadrant,CoverType
Moose Creek,2,E,3,Fern
Moose Creek,2,E,4,Herb
Moose Creek,2,F,1,Fern
Moose Creek,2,F,2,Litter
Moose Creek,2,F,3,Litter
Moose Creek,2,F,4,Litter
Moose Creek,2,G,1,Litter
Moose Creek,2,G,2,Fern
Moose Creek,2,G,3,Moss
Moose Creek,2,G,4,Fern
Moose Creek,3,A,1,Bare
Moose Creek,3,A,2,Grass
Moose Creek,3,A,3,Bare
Moose Creek,3,A,4,Bare
Moose Creek,3,B,1,Grass
Moose Creek,3,B,2,Grass
Moose Creek,3,B,3,Grass
Moose Creek,3,B,4,Grass
Moose Creek,3,C,1,Grass
Moose Creek,3,C,2,Bare
Moose Creek,3,C,3,Herb
Moose Creek,3,C,4,Bare
Moose Creek,3,D,1,Herb
Moose Creek,3,D,2,Bare
Moose Creek,3,D,3,Regen
Moose Creek,3,D,4,Bare
Moose Creek,3,D,1,Litter
Moose Creek,3,E,2,Litter
Moose Creek,3,E,3,Litter
Moose Creek,3,E,4,Litter
Moose Creek,3,F,1,Herb
Moose Creek,3,F,2,Herb
Moose Creek,3,F,3,Herb
Moose Creek,3,F,4,Litter
Moose Creek,3,G,1,Litter
Moose Creek,3,G,2,Herb
Moose Creek,3,G,3,Herb
Moose Creek,3,G,4,Litter
Moose Creek,4,A,1,Bare
Moose Creek,4,A,2,Grass
Moose Creek,4,A,3,Bare
Moose Creek,4,A,4,Grass
Moose Creek,4,B,1,Moss
Moose Creek,4,B,2,Herb
Moose Creek,4,B,3,Herb
Moose Creek,4,B,4,Bare
Moose Creek,4,C,1,Bare
Moose Creek,4,C,2,Bare
Moose Creek,4,C,3,Bare
Moose Creek,4,C,4,Bare
Moose Creek,1,A,1,Grass
Moose Creek,1,A,2,Grass
Moose Creek,1,A,3,Grass
Moose Creek,1,A,4,Regen
Moose Creek,1,B,1,Moss
Moose Creek,1,B,2,Herb
Moose Creek,1,B,3,Moss
Moose Creek,1,B,4,Herb
Moose Creek,2,A,1,Grass
Moose Creek,2,A,2,Herb
Moose Creek,2,A,3,Grass
Moose Creek,2,A,4,Grass
Moose Creek,2,B,1,Grass
Moose Creek,2,B,2,Fern
Moose Creek,2,B,3,Moss
Moose Creek,2,B,4,Moss
Moose Creek,3,A,1,Grass
Moose Creek,3,A,2,Grass
Moose Creek,3,A,3,Grass
Moose Creek,3,A,4,Grass
Moose Creek,3,B,1,Grass
Moose Creek,3,B,2,Grass
Moose Creek,3,B,3,Grass
Moose Creek,3,B,4,Grass
Moose Creek,4,A,1,Grass
Moose Creek,4,A,2,Grass
Moose Creek,4,A,3,Grass
Moose Creek,4,A,4,Grass
Moose Creek,4,B,1,Grass
Moose Creek,4,B,2,Grass
Moose Creek,4,B,3,Grass
Moose Creek,4,B,4,Grass
Moose Creek,2,A,1,Herb
Moose Creek,2,A,2,Moss
Moose Creek,2,A,3,Moss
Moose Creek,2,A,4,Litter
Moose Creek,2,B,1,Litter
Moose Creek,2,B,2,Litter
Moose Creek,2,B,3,Litter
Moose Creek,2,B,4,Litter
Moose Creek,2,C,1,Litter
Moose Creek,2,C,2,Moss
Moose Creek,2,C,3,Moss
Moose Creek,2,C,4,Moss
Moose Creek,2,D,1,Fern
Moose Creek,2,D,2,Fern
Moose Creek,2,D,3,Witchhobble
Moose Creek,2,D,4,Litter
Moose Creek,2,E,1,Fern
Moose Creek,2,E,2,Fern
Moose Creek,2,E,3,Litter
Moose Creek,2,E,4,Herb
Moose Creek,2,F,1,Litter
Moose Creek,2,F,2,Fern
Moose Creek,2,F,3,Litter
Moose Creek,2,F,4,Litter
Moose Creek,4,A,1,Litter
Moose Creek,4,A,2,Moss
Moose Creek,4,A,3,Moss
Moose Creek,4,A,4,Litter
Moose Creek,4,B,1,Regen
Moose Creek,4,B,2,Litter
Moose Creek,4,B,3,Herb
Moose Creek,4,B,4,Herb
Moose Creek,1,A,1,Herb
Moose Creek,1,A,2,Litter
Moose Creek,1,A,3,Herb
Moose Creek,1,A,4,Herb
Moose Creek,1,B,1,Litter
Moose Creek,1,B,2,Herb
Moose Creek,1,B,3,Herb
Moose Creek,1,B,4,Herb
Moose Creek,1,C,1,Litter
Moose Creek,1,C,2,Regen
Moose Creek,1,C,3,Litter
Moose Creek,1,C,4,Litter
Moose Creek,1,D,1,Herb
Moose Creek,1,D,2,Herb
Moose Creek,1,D,3,Regen
Moose Creek,1,D,4,Litter
Moose Creek,3,A,1,Regen
Moose Creek,3,A,2,Litter
Moose Creek,3,A,3,Litter
Moose Creek,3,A,4,Herb
Moose Creek,3,B,1,Fern
Moose Creek,3,B,2,Fern
Moose Creek,3,B,3,Litter
Moose Creek,3,B,4,Litter
Moose Creek,1,A,1,Bare
Moose Creek,1,A,2,Bare
Moose Creek,1,A,3,Herb
Moose Creek,1,A,4,Grass
Moose Creek,1,B,1,Litter
Moose Creek,1,B,2,Litter
Moose Creek,1,B,3,Fern
Moose Creek,1,B,4,Witchhobble
Moose Creek,1,C,1,Fern
Moose Creek,1,C,2,Fern
Moose Creek,1,C,3,Fern
Moose Creek,1,C,4,Fern
Moose Creek,2,A,1,Regen
Moose Creek,2,A,2,Regen
Moose Creek,2,A,3,Fern
Moose Creek,2,A,4,Herb
Moose Creek,2,B,1,Regen
Moose Creek,2,B,2,Litter
Moose Creek,2,B,3,Regen
Moose Creek,2,B,4,Litter
Moose Creek,2,C,1,Litter
Moose Creek,2,C,2,Litter
Moose Creek,2,C,3,Litter
Moose Creek,2,C,4,Litter
Moose Creek,2,D,1,Regen
Moose Creek,2,D,2,Litter
Moose Creek,2,D,3,Litter
Moose Creek,2,D,4,Litter
Moose Creek,3,A,1,Regen
Moose Creek,3,A,2,Herb
Moose Creek,3,A,3,Herb
Moose Creek,3,A,4,Herb
Moose Creek,3,B,1,Fern
Moose Creek,3,B,2,Bare
Moose Creek,3,B,3,Bare
Moose Creek,3,B,4,Bare
Moose Creek,4,A,1,Regen
Moose Creek,4,A,2,Regen
Moose Creek,4,A,3,Bare
Moose Creek,4,A,4,Regen
Moose Creek,4,B,1,Witchhobble
Moose Creek,4,B,2,Fern
Moose Creek,4,B,3,Litter
Moose Creek,4,B,4,Litter
Moose Creek,4,C,1,Regen
Moose Creek,4,C,2,Litter
Moose Creek,4,C,3,Litter
Moose Creek,4,C,4,Litter
Moose Creek,1,A,1,Litter
Moose Creek,1,A,2,Litter
Moose Creek,1,A,3,Litter
Moose Creek,1,A,4,Litter
Moose Creek,1,B,1,Litter
Moose Creek,1,B,2,Litter
Moose Creek,1,B,3,Litter
Moose Creek,1,B,4,Litter
Moose Creek,2,A,1,Litter
Moose Creek,2,A,2,Litter
Moose Creek,2,A,3,Litter
Moose Creek,2,A,4,Moss
Moose Creek,2,B,1,Litter
Moose Creek,2,B,2,Litter
Moose Creek,2,B,3,Litter
Moose Creek,2,B,4,Litter
Moose Creek,3,A,1,Litter
Moose Creek,3,A,2,Litter
Moose Creek,3,A,3,Litter
Moose Creek,3,A,4,Litter
Moose Creek,3,B,1,Litter
Moose Creek,3,B,2,Litter
Moose Creek,3,B,3,Litter
Moose Creek,3,B,4,Litter
Moose Creek,4,A,1,Litter
Moose Creek,4,A,2,Litter
Moose Creek,4,A,3,Regen
Moose Creek,4,A,4,Regen
Moose Creek,4,B,1,Litter
Moose Creek,4,B,2,Litter
Moose Creek,4,B,3,Litter
Moose Creek,4,B,4,Litter
Moose Creek,1,A,1,Herb
Moose Creek,1,A,2,Moss
Moose Creek,1,A,3,Herb
Moose Creek,1,A,4,Moss
Moose Creek,1,B,1,Grass
Moose Creek,1,B,2,Grass
Moose Creek,1,B,3,Grass
Moose Creek,1,B,4,Herb
Moose Creek,2,A,1,Herb
Moose Creek,2,A,2,Herb
Moose Creek,2,A,3,Herb
Moose Creek,2,A,4,Herb
Moose Creek,2,B,1,Regen
Moose Creek,2,B,2,Litter
Moose Creek,2,B,3,Regen
Moose Creek,2,B,4,Litter
Moose Creek,1,A,1,Litter
Moose Creek,1,A,2,Litter
Moose Creek,1,A,3,Herb
Moose Creek,1,A,4,Litter
Moose Creek,1,B,1,Litter
Moose Creek,1,B,2,Litter
Moose Creek,1,B,3,Herb
Moose Creek,1,B,4,Litter
Moose Creek,2,A,1,Herb
Moose Creek,2,A,2,Grass
Moose Creek,2,A,3,Moss
Moose Creek,2,A,4,Herb
Moose Creek,2,B,1,Herb
Moose Creek,2,B,2,Moss
Moose Creek,2,B,3,Herb
Moose Creek,2,B,4,Regen
Moose Creek,3,A,1,Moss
Moose Creek,3,A,2,Herb
Moose Creek,3,A,3,Moss
Moose Creek,3,A,4,MOss
Moose Creek,3,B,1,Regen
Moose Creek,3,B,2,Moss
Moose Creek,3,B,3,Regen
Moose Creek,3,B,4,Moss
Moose Creek,3,C,1,Litter
Moose Creek,3,C,2,Litter
Moose Creek,3,C,3,Litter
Moose Creek,3,C,4,Litter
Moose Creek,4,A,1,NA
Moose Creek,4,A,2,NA
Moose Creek,4,A,3,NA
Moose Creek,4,A,4,NA
Moose Creek,4,B,1,Litter
Moose Creek,4,B,2,Regen
Moose Creek,4,B,3,Tree
Moose Creek,4,B,4,Regen
Moose Creek,1,A,1,Herb
Moose Creek,1,A,2,Herb
Moose Creek,1,A,3,Herb
Moose Creek,1,A,4,Herb
Moose Creek,1,B,1,Herb
Moose Creek,1,B,2,Herb
Moose Creek,1,B,3,Herb
Moose Creek,1,B,4,Grass
Moose Creek,1,C,1,Regen
Moose Creek,1,C,2,Regen
Moose Creek,1,C,3,Moss
Moose Creek,1,C,4,Moss
Moose Creek,2,A,1,Herb
Moose Creek,2,A,2,Herb
Moose Creek,2,A,3,Grass
Moose Creek,2,A,4,Herb
Moose Creek,2,B,1,Herb
Moose Creek,2,B,2,Herb
Moose Creek,2,B,3,Grass
Moose Creek,2,B,4,Herb
Moose Creek,3,A,1,Herb
Moose Creek,3,A,2,Herb
Moose Creek,3,A,3,Grass
Moose Creek,3,A,4,Herb
Moose Creek,3,B,1,Herb
Moose Creek,3,B,2,Grass
Moose Creek,3,B,3,Grass
Moose Creek,3,B,4,Grass
Moose Creek,4,A,1,Grass
Moose Creek,4,A,2,Herb
Moose Creek,4,A,3,Grass
Moose Creek,4,A,4,Grass
Moose Creek,4,B,1,NA
Moose Creek,4,B,2,NA
Moose Creek,4,B,3,NA
Moose Creek,4,B,4,NA
Moose Creek,1,A,1,Litter
Moose Creek,1,A,2,Herb
Moose Creek,1,A,3,Herb
Moose Creek,1,A,4,Herb
Moose Creek,1,B,1,Fern
Moose Creek,1,B,2,Fern
Moose Creek,1,B,3,Witchhobble
Moose Creek,1,B,4,Herb
Moose Creek,2,A,1,Litter
Moose Creek,2,A,2,Herb
Moose Creek,2,A,3,Litter
Moose Creek,2,A,4,Witchhobble
Moose Creek,2,B,1,Moss
Moose Creek,2,B,2,Herb
Moose Creek,2,B,3,Fern
Moose Creek,2,B,4,Fern
Moose Creek,2,C,1,Moss
Moose Creek,2,C,2,Fern
Moose Creek,2,C,3,Moss
Moose Creek,2,C,4,Witchhobble
Moose Creek,3,A,1,Herb
Moose Creek,3,A,2,Herb
Moose Creek,3,A,3,Regen
Moose Creek,3,A,4,Litter
Moose Creek,3,B,1,Litter
Moose Creek,3,B,2,Litter
Moose Creek,3,B,3,Litter
Moose Creek,3,B,4,Litter
Moose Creek,4,A,1,Witchhobble
Moose Creek,4,A,2,Witchhobble
Moose Creek,4,A,3,Regen
Moose Creek,4,A,4,Litter
Moose Creek,4,B,1,NA
Moose Creek,4,B,2,NA
Moose Creek,4,B,3,NA
Moose Creek,4,B,4,NA
Moose Creek,1,A,1,Regen
Moose Creek,1,A,2,Herb
Moose Creek,1,A,3,Herb
Moose Creek,1,A,4,Litter
Moose Creek,1,B,1,Litter
Moose Creek,1,B,2,Litter
Moose Creek,1,B,3,Litter
Moose Creek,1,B,4,Litter
Moose Creek,2,A,1,Herb
Moose Creek,2,A,2,Herb
Moose Creek,2,A,3,Litter
Moose Creek,2,A,4,Litter
Moose Creek,2,B,1,Litter
Moose Creek,2,B,2,Litter
Moose Creek,2,B,3,Herb
Moose Creek,2,B,4,Herb
Moose Creek,2,C,1,Litter
Moose Creek,2,C,2,Litter
Moose Creek,2,C,3,Fern
Moose Creek,2,C,4,Litter
Moose Creek,3,A,1,Herb
Moose Creek,3,A,2,Fern
Moose Creek,3,A,3,Herb
Moose Creek,3,A,4,Grass
Moose Creek,3,B,1,Fern
Moose Creek,3,B,2,Fern
Moose Creek,3,B,3,Fern
Moose Creek,3,B,4,Fern
Moose Creek,3,C,1,Fern
Moose Creek,3,C,2,Fern
Moose Creek,3,C,3,Fern
Moose Creek,3,C,4,Fern
Moose Creek,3,D,1,Litter
Moose Creek,3,D,2,Litter
Moose Creek,3,D,3,Litter
Moose Creek,3,D,4,Litter
Moose Creek,3,E,1,Witchhobble
Moose Creek,3,E,2,Witchhobble
Moose Creek,3,E,3,Witchhobble
Moose Creek,3,E,4,Witchhobble
Moose Creek,4,A,1,Herb
Moose Creek,4,A,2,Herb
Moose Creek,4,A,3,Herb
Moose Creek,4,A,4,Herb
Moose Creek,4,B,1,NA
Moose Creek,4,B,2,NA
Moose Creek,4,B,3,NA
Moose Creek,4,B,4,NA
Moose Creek,1,A,1,Herb
Moose Creek,1,A,2,Grass
Moose Creek,1,A,3,Fern
Moose Creek,1,A,4,Bare
Moose Creek,1,B,1,Litter
Moose Creek,1,B,2,Litter
Moose Creek,1,B,3,Herb
Moose Creek,1,B,4,Litter
Moose Creek,2,A,1,Bare
Moose Creek,2,A,2,Regen
Moose Creek,2,A,3,Grass
Moose Creek,2,A,4,Regen
Moose Creek,2,B,1,Moss
Moose Creek,2,B,2,Litter
Moose Creek,2,B,3,Moss
Moose Creek,2,B,4,Moss
Moose Creek,2,C,1,Moss
Moose Creek,2,C,2,Regen
Moose Creek,2,C,3,Litter
Moose Creek,2,C,4,Litter
Moose Creek,3,A,1,Herb
Moose Creek,3,A,2,Grass
Moose Creek,3,A,3,Grass
Moose Creek,3,A,4,Grass
Moose Creek,3,B,1,Grass
Moose Creek,3,B,2,Grass
Moose Creek,3,B,3,Grass
Moose Creek,3,B,4,Grass
Moose Creek,4,A,1,Herb
Moose Creek,4,A,2,Grass
Moose Creek,4,A,3,Grass
Moose Creek,4,A,4,Grass
Moose Creek,4,B,1,Grass
Moose Creek,4,B,2,Grass
Moose Creek,4,B,3,Herb
Moose Creek,4,B,4,Herb
Moose Creek,1,A,1,Litter
Moose Creek,1,A,2,Grass
Moose Creek,1,A,3,Litter
Moose Creek,1,A,4,Litter
Moose Creek,1,B,1,Litter
Moose Creek,1,B,2,Herb
Moose Creek,1,B,3,Herb
Moose Creek,1,B,4,Litter
Moose Creek,1,C,1,Herb
Moose Creek,1,C,2,Litter
Moose Creek,1,C,3,Litter
Moose Creek,1,C,4,Litter
Moose Creek,1,D,1,Fern
Moose Creek,1,D,2,Fern
Moose Creek,1,D,3,Fern
Moose Creek,1,D,4,Fern
Moose Creek,2,A,1,Fern
Moose Creek,2,A,2,Bare
Moose Creek,2,A,3,Fern
Moose Creek,2,A,4,Fern
Moose Creek,2,B,1,Fern
Moose Creek,2,B,2,Fern
Moose Creek,2,B,3,Fern
Moose Creek,2,B,4,Fern
Moose Creek,2,C,1,Herb
Moose Creek,2,C,2,Herb
Moose Creek,2,C,3,Litter
Moose Creek,2,C,4,Regen
Moose Creek,2,D,1,Rock
Moose Creek,2,D,2,Rock
Moose Creek,2,D,3,Rock
Moose Creek,2,D,4,Rock
Moose Creek,3,A,1,Bare
Moose Creek,3,A,2,Litter
Moose Creek,3,A,3,Litter
Moose Creek,3,A,4,Litter
Moose Creek,3,B,1,Fern
Moose Creek,3,B,2,Herb
Moose Creek,3,B,3,Litter
Moose Creek,3,B,4,Litter
Moose Creek,3,C,1,Litter
Moose Creek,3,C,2,Witchhobble
Moose Creek,3,C,3,Witchhobble
Moose Creek,3,C,4,Litter
Moose Creek,3,D,1,Litter
Moose Creek,3,D,2,Bare
Moose Creek,3,D,3,Litter
Moose Creek,3,D,4,Litter
Moose Creek,4,A,1,Litter
Moose Creek,4,A,2,Litter
Moose Creek,4,A,3,Litter
Moose Creek,4,A,4,Litter
Moose Creek,4,B,1,Rock
Moose Creek,4,B,2,Litter
Moose Creek,4,B,3,Witchhobble
Moose Creek,4,B,4,Rock
Moose Creek,4,C,1,Witchhobble
Moose Creek,4,C,2,Moss
Moose Creek,4,C,3,Witchhobble
Moose Creek,4,C,4,Fern
Moose Creek,1,A,1,Rock
Moose Creek,1,A,2,Moss
Moose Creek,1,A,3,Rock
Moose Creek,1,A,4,Litter
Moose Creek,1,B,1,Rock
Moose Creek,1,B,2,Rock
Moose Creek,1,B,3,Rock
Moose Creek,1,B,4,Rock
Moose Creek,2,A,1,Litter
Moose Creek,2,A,2,Moss
Moose Creek,2,A,3,Moss
Moose Creek,2,A,4,Litter
Moose Creek,2,B,1,Fern
Moose Creek,2,B,2,Fern
Moose Creek,2,B,3,Fern
Moose Creek,2,B,4,Litter
Moose Creek,3,A,1,Litter
Moose Creek,3,A,2,Litter
Moose Creek,3,A,3,Litter
Moose Creek,3,A,4,Litter
Moose Creek,3,B,1,Litter
Moose Creek,3,B,2,Litter
Moose Creek,3,B,3,Litter
Moose Creek,3,B,4,Moss
Moose Creek,4,A,1,Regen
Moose Creek,4,A,2,Regen
Moose Creek,4,A,3,Regen
Moose Creek,4,A,4,Regen
Moose Creek,4,B,1,Litter
Moose Creek,4,B,2,Litter
Moose Creek,4,B,3,Litter
Moose Creek,4,B,4,Litter
Moose Creek,1,A,1,Grass
Moose Creek,1,A,2,Litter
Moose Creek,1,A,3,Grass
Moose Creek,1,A,4,Grass
Moose Creek,1,B,1,Litter
Moose Creek,1,B,2,Litter
Moose Creek,1,B,3,Moss
Moose Creek,1,B,4,Litter
Moose Creek,1,C,1,Herb
Moose Creek,1,C,2,Litter
Moose Creek,1,C,3,Litter
Moose Creek,1,C,4,Herb
Moose Creek,2,A,1,Litter
Moose Creek,2,A,2,Litter
Moose Creek,2,A,3,Litter
Moose Creek,2,A,4,Litter
Moose Creek,2,B,1,Litter
Moose Creek,2,B,2,Litter
Moose Creek,2,B,3,Litter
Moose Creek,2,B,4,Rock
Moose Creek,2,C,1,Rock
Moose Creek,2,C,2,Rock
Moose Creek,2,C,3,Litter
Moose Creek,2,C,4,Litter
Moose Creek,3,A,1,Litter
Moose Creek,3,A,2,Litter
Moose Creek,3,A,3,Litter
Moose Creek,3,A,4,Litter
Moose Creek,3,B,1,Regen
Moose Creek,3,B,2,Litter
Moose Creek,3,B,3,Fern
Moose Creek,3,B,4,Litter
Moose Creek,4,A,1,Litter
Moose Creek,4,A,2,Litter
Moose Creek,4,A,3,Regen
Moose Creek,4,A,4,Litter
Moose Creek,4,B,1,Litter
Moose Creek,4,B,2,Regen
Moose Creek,4,B,3,Litter
Moose Creek,4,B,4,Litter
Moose Creek,1,A,1,Litter
Moose Creek,1,A,2,Litter
Moose Creek,1,A,3,Litter
Moose Creek,1,A,4,Litter
Moose Creek,1,B,1,Litter
Moose Creek,1,B,2,Litter
Moose Creek,1,B,3,Litter
Moose Creek,1,B,4,Litter
Moose Creek,2,A,1,Regen
Moose Creek,2,A,2,Regen
Moose Creek,2,A,3,Regen
Moose Creek,2,A,4,Regen
Moose Creek,2,B,1,Regen
Moose Creek,2,B,2,Regen
Moose Creek,2,B,3,Regen
Moose Creek,2,B,4,Herb
Moose Creek,3,A,1,Litter
Moose Creek,3,A,2,Litter
Moose Creek,3,A,3,Litter
Moose Creek,3,A,4,Litter
Moose Creek,3,B,1,Regen
Moose Creek,3,B,2,Herb
Moose Creek,3,B,3,Regen
Moose Creek,3,B,4,Herb
Moose Creek,4,A,1,Herb
Moose Creek,4,A,2,Litter
Moose Creek,4,A,3,Moss
Moose Creek,4,A,4,Litter
Moose Creek,4,B,1,Moss
Moose Creek,4,B,2,Moss
Moose Creek,4,B,3,Moss
Moose Creek,4,B,4,Moss
Moose Creek,1,A,1,Herb
Moose Creek,1,A,2,Litter
Moose Creek,1,A,3,Herb
Moose Creek,1,A,4,Litter
Moose Creek,1,B,1,Litter
Moose Creek,1,B,2,Litter
Moose Creek,1,B,3,Litter
Moose Creek,1,B,4,Litter
Moose Creek,2,A,1,Grass
Moose Creek,2,A,2,Herb
Moose Creek,2,A,3,Bare
Moose Creek,2,A,4,Fern
Moose Creek,2,B,1,Litter
Moose Creek,2,B,2,Litter
Moose Creek,2,B,3,Litter
Moose Creek,2,B,4,Litter
Moose Creek,3,A,1,Grass
Moose Creek,3,A,2,Grass
Moose Creek,3,A,3,Grass
Moose Creek,3,A,4,Grass
Moose Creek,3,B,1,Grass
Moose Creek,3,B,2,Grass
Moose Creek,3,B,3,Grass
Moose Creek,3,B,4,Grass
Moose Creek,4,A,1,Grass
Moose Creek,4,A,2,Grass
Moose Creek,4,A,3,Grass
Moose Creek,4,A,4,Grass
Moose Creek,4,B,1,Grass
Moose Creek,4,B,2,Grass
Moose Creek,4,B,3,Grass
Moose Creek,4,B,4,Grass
Moose Creek,1,A,1,Grass
Moose Creek,1,A,2,Grass
Moose Creek,1,A,3,Grass
Moose Creek,1,A,4,Grass
Moose Creek,1,B,1,Herb
Moose Creek,1,B,2,Herb
Moose Creek,1,B,3,Grass
Moose Creek,1,B,4,Grass
Moose Creek,2,A,1,Herb
Moose Creek,2,A,2,Herb
Moose Creek,2,A,3,Herb
Moose Creek,2,A,4,Grass
Moose Creek,2,B,1,Grass
Moose Creek,2,B,2,Grass
Moose Creek,2,B,3,Grass
Moose Creek,2,B,4,Grass
Moose Creek,3,A,1,Fern
Moose Creek,3,A,2,Grass
Moose Creek,3,A,3,Grass
Moose Creek,3,A,4,Grass
Moose Creek,3,B,1,Herb
Moose Creek,3,B,2,Grass
Moose Creek,3,B,3,Grass
Moose Creek,3,B,4,Grass
Moose Creek,4,A,1,Grass
Moose Creek,4,A,2,Grass
Moose Creek,4,A,3,Grass
Moose Creek,4,A,4,Grass
Moose Creek,4,B,1,Grass
Moose Creek,4,B,2,Grass
Moose Creek,4,B,3,Grass
Moose Creek,4,B,4,Grass
